ra,dec,redshift,extinction_r
240.15178,24.672525,0.2668508,0.1502227
212.87611,10.069266,0.06469396,0.05074939
212.81675,12.109389,0.2039953,0.05335926
225.63921,10.403524,0.1121222,0.0679627
225.8239,10.383745,0.2261795,0.0593112
212.95568,12.538001,0.2722967,0.05100466
212.95249,12.606829,0.09032558,0.0512417
225.5079,10.85263,0.08622926,0.08348484
225.53914,10.84443,0.02816888,0.08299987
225.8301,10.797641,0.0944389,0.07354987
212.81426,12.977921,0.2633832,0.05090912
225.49164,11.20737,0.07619985,0.09217592
225.59928,11.206374,0.04654994,0.09412418
225.625,11.177057,0.04926999,0.09342029
225.73718,11.135328,0.03378678,0.0880019
225.74931,11.132517,0.03353927,0.08749817
225.78313,11.203063,0.03999063,0.0935556
225.76329,11.050507,0.07730089,0.08250501
225.66194,11.228946,0.1689257,0.09162506
225.64945,11.073777,0.07812573,0.08499603
225.6718,11.191591,0.1709551,0.09199928
225.66635,11.115544,0.1734765,0.08743335
225.67904,11.083305,0.1718974,0.08485132
225.7178,11.213396,0.1680155,0.09203775
225.74741,11.220113,0.2048653,0.09330987
225.7301,11.079141,0.1702427,0.08296604
225.80045,11.220394,0.2051735,0.09394984
225.69575,11.247122,0.04142695,0.09019768
225.72806,11.192619,0.04001469,0.09212358
225.80865,11.130256,0.1152737,0.0862516
225.82189,11.097763,0.0889302,0.08434184
225.85225,11.143698,0.0425209,0.08621891
225.52363,11.680077,0.2167791,0.08902462
225.57069,11.50929,0.046598,0.08619942
225.57303,11.508442,0.04659693,0.08612863
225.62162,11.681984,0.2380683,0.09022312
225.58455,11.6657,0.2981017,0.0893479
225.57145,11.556667,0.07361508,0.08846642
225.66615,11.645628,0.298822,0.09031016
225.60031,11.679498,0.2980979,0.08964977
225.74048,11.571253,0.04068349,0.08815011
225.76464,11.493163,0.08822154,0.08744035
225.79927,11.534997,0.08885927,0.09028367
225.82118,11.510907,0.07394646,0.09125897
225.85113,11.520517,0.08846534,0.093386
225.86444,11.563497,0.1087352,0.09446692
212.82394,13.880308,0.1768636,0.05262726
212.85872,13.938322,0.1323897,0.0544715
212.86752,13.959012,0.285772,0.05505301
212.97931,13.881757,0.1370857,0.05089825
225.53456,11.997627,0.1189247,0.09175663
225.59392,11.938716,0.04267258,0.09714246
225.62023,11.988184,0.2062677,0.09343471
225.68458,12.064339,0.2028202,0.08861734
225.69482,12.086147,0.2043138,0.0881721
225.70715,11.925318,0.172216,0.09480284
225.67288,12.047227,0.1119729,0.08930863
225.84888,11.979,0.2229602,0.08963903
212.95665,14.197135,0.09095719,0.04764932
212.85968,12.34055,0.1459763,0.05363132
212.79336,12.31936,0.01898267,0.05600681
214.7881,10.411407,0.07810476,0.07966745
214.78833,10.297736,0.2469264,0.07577458
214.85067,10.43854,0.07840618,0.07662915
214.80474,10.715606,0.0784834,0.06824433
214.74737,11.160647,0.2059213,0.07018636
214.86784,11.244937,0.02560275,0.07240931
225.1622,10.00939,0.2157795,0.06427937
214.78674,11.725634,0.1254406,0.06063845
214.92683,11.624658,0.02410354,0.06264888
225.11663,10.361559,0.2115256,0.066526
225.13733,10.463311,0.1504914,0.06559712
225.15297,10.315509,0.1132393,0.06915614
225.1918,10.376039,0.05364548,0.07044601
225.2353,10.360914,0.07917842,0.07085463
225.23035,10.291124,0.1434159,0.06790285
225.35198,10.379163,0.1849809,0.06901216
