ra,dec,redshift,extinction_r
117.6653,23.631067,0.498998,0.1642738
117.84108,22.87998,0.5294907,0.1642606
117.53316,23.426374,0.4294327,0.164212
116.57299,22.220509,0.5320972,0.1640588
130.63658,10.146066,0.4579852,0.1640494
117.56769,23.311649,0.4918517,0.1639388
118.41791,24.483629,0.3158095,0.1638923
115.60357,21.363769,0.3890374,0.1637973
124.19728,23.070047,0.5553473,0.1637485
120.02668,23.100109,0.5992208,0.1636518
131.35947,10.236297,0.3433694,0.1635834
118.31968,22.610486,0.4863459,0.1635478
119.58783,20.692547,0.3857712,0.163254
130.94446,10.312051,0.4585212,0.163122
120.65123,22.283046,0.4314316,0.1631178
119.78642,23.073274,0.5746787,0.1630282
118.38471,24.64614,0.5502608,0.1630123
117.6155,22.551984,0.3058692,0.162929
130.63966,10.019286,0.4002163,0.1629186
130.12389,13.103364,0.5028334,0.1628821
117.95391,23.618168,0.5397662,0.1627214
117.55675,24.134811,0.3572996,0.1626614
120.71466,22.186973,0.3356709,0.1625905
115.95097,19.953758,0.4828884,0.1625896
130.10624,13.316353,0.503471,0.1624666
117.63398,22.360759,0.5490572,0.1624382
117.63459,23.044067,0.4884482,0.1624127
120.78704,22.185985,0.585323,0.1622505
119.19467,20.492634,0.5484021,0.1622024
119.86729,22.978976,0.3648527,0.1621408
118.53562,24.038444,0.5245925,0.1621383
118.92126,21.130593,0.5845438,0.1621271
117.97584,23.495626,0.5584803,0.1621151
115.27392,20.730751,0.4341698,0.1621086
119.83909,22.983035,0.4633519,0.1620728
117.54688,23.466921,0.5255064,0.1620703
118.03949,22.634544,0.5709689,0.1620575
121.882,17.530407,0.4216349,0.1620565
117.97914,22.555797,0.506413,0.1619953
117.63555,23.272051,0.4212326,0.1619945
129.51343,13.202387,0.3328349,0.1618933
118.63201,21.363752,0.5158446,0.1618803
117.88585,22.42888,0.4833638,0.1618598
130.79837,10.066473,0.5053461,0.1618284
117.43259,24.339103,0.5095997,0.1618061
118.59657,24.056968,0.5576512,0.1617419
129.85404,13.160055,0.3078075,0.1616949
117.9229,23.396109,0.5098746,0.1616243
117.70453,23.050331,0.4844746,0.1614746
