ra,dec,redshift,extinction_r
169.58074,5.8229741,0.1738919,0.1670221
157.02797,0.38775636,0.1075818,0.1669494
157.05686,0.38694242,0.1070964,0.166919
158.57954,-0.34241963,0.1403766,0.166877
170.69034,6.9089544,0.09270216,0.1668713
170.87884,6.8729438,0.09893285,0.1668525
156.97114,0.44323865,0.1472937,0.1667931
156.50783,-0.41347383,0.1663234,0.1667028
171.81651,6.9678213,0.07399347,0.1666746
156.58897,-0.62046608,0.1599996,0.1666524
159.31578,0.080528787,0.08251377,0.1666072
159.13434,-0.48705558,0.1594188,0.1665459
169.78173,6.5763809,0.04824573,0.1665206
158.65388,0.069511339,0.2805831,0.1665019
171.23309,8.5738763,0.2926279,0.1664915
171.99468,6.9646966,0.06607785,0.1662077
151.70759,2.263021,0.2248366,0.1661025
169.9947,6.4828771,0.2717958,0.1660661
171.92842,7.7414883,0.07174682,0.1659841
158.6831,0.16292412,0.06472252,0.1658742
158.99699,0.19524891,0.0948553,0.1658601
165.95197,1.3422204,0.1342456,0.1657932
167.81844,5.067538,0.225149,0.1656673
159.30545,0.14598884,0.08107708,0.1655138
159.1268,-0.50561242,0.08467862,0.1655098
169.59038,5.7842048,0.1728612,0.1654336
171.83992,7.814315,0.04006818,0.1654136
170.57843,6.6843419,0.09861232,0.1653801
158.53671,-0.17948429,0.2362831,0.1653539
159.08805,-0.51171669,0.1508875,0.1652933
166.07454,1.3807319,0.1378389,0.1652416
159.23906,0.22972839,0.02922444,0.1652333
166.05866,1.3412979,0.1381408,0.1651032
158.55077,-0.38113422,0.1526302,0.1650948
168.77374,6.2213509,0.2675294,0.1650846
159.02341,-0.51885429,0.03587253,0.1650216
171.39013,7.3995799,0.07493878,0.1650138
158.81738,-0.47316632,0.08389378,0.1650084
158.62191,0.068179679,0.1527226,0.1649613
158.59226,-0.41002201,0.1846299,0.1647006
157.48561,0.75899248,0.0996345,0.1646612
169.9808,6.0948228,0.0619741,0.1646329
171.95923,7.7278236,0.1109712,0.1646298
169.05575,6.2126648,0.08215867,0.1645975
158.61326,0.067213721,0.1525967,0.1645444
157.33983,0.62584912,0.0974411,0.1645054
171.51095,7.4040907,0.07516684,0.164504
154.11027,1.8940127,0.1457831,0.1644136
169.75898,5.7494674,0.09069531,0.1644038
166.08084,1.3429789,0.1301369,0.1643784
169.07067,6.2789714,0.06926054,0.1643082
170.63687,6.1672232,0.09886418,0.1642846
155.945,-0.30243207,0.09575914,0.1642131
157.08694,0.55991632,0.09568959,0.1641789
169.30306,5.80596,0.04867369,0.1641589
170.61344,4.2832052,0.03866398,0.1639465
170.61423,4.2867862,0.03840229,0.163937
171.75912,7.0651791,0.07313681,0.1639019
159.42221,-0.29270328,0.1301479,0.1638659
172.47297,7.7131458,0.2634466,0.1638318
165.94953,1.3514295,0.1265036,0.1638143
170.5651,6.3889224,0.03749676,0.1637689
158.5852,0.039160458,0.1876233,0.1637053
159.42281,-0.02234853,0.1316363,0.1635889
171.35143,8.5190853,0.0638997,0.1635217
157.21948,0.45718266,0.09461677,0.1631826
158.53782,-0.42980512,0.06510382,0.1631734
166.80477,4.335311,0.05833375,0.1631529
165.91583,1.3182326,0.129413,0.1631305
170.58566,6.8272174,0.2392088,0.1630285
170.54359,6.3587925,0.03734482,0.1630206
158.59156,0.15568795,0.1893846,0.1629787
169.04043,6.0463888,0.0393356,0.1629237
170.0058,6.365308,0.2389237,0.1628775
158.55526,-0.44543081,0.06500082,0.1628564
155.38646,1.1894161,0.09337822,0.1628016
167.89065,5.2291041,0.06203276,0.1627886
168.38002,0.50590354,0.02955294,0.162772
156.92626,0.50939391,0.2519378,0.1627672
159.32867,-0.45282789,0.09673389,0.1627651
169.70543,6.6776033,0.07481273,0.1627534
159.13698,0.28943735,0.1574254,0.1626491
155.95687,-0.25377967,0.09391025,0.1625731
